price,propertyAddress,typeOfProperty,noOfBeds,mapLocation,area,status,date,priceRank,areaRank,Rank Sum
565000.0,"Flecker Close, Stanmore, Middlesex, HA7",Terraced,4,https://www.rightmove.co.uk/properties/124238633#/map?channel=RES_BUY,1305.0,Added , 07/12/2022,6.5,5.0,11.5
575000.0,"Clydesdale Avenue, Stanmore, Middlesex",Semi-Detached,3,https://www.rightmove.co.uk/properties/129725543#/map?channel=RES_BUY,1230.0,Reduced , 25/10/2022,8.5,6.0,14.5
575000.0,"Curzon Avenue, Stanmore, HA7",Semi-Detached,3,https://www.rightmove.co.uk/properties/129333284#/map?channel=RES_BUY,1056.0,Reduced , 28/11/2022,8.5,12.0,20.5
585000.0,"Stanmore, Middlesex, HA7",Semi-Detached,3,https://www.rightmove.co.uk/properties/125824526#/map?channel=RES_BUY,1111.0,Added , 29/06/2022,11.0,10.0,21.0
550000.0,"Ashdale Grove, Stanmore, Middlesex",Bungalow,2,https://www.rightmove.co.uk/properties/129734849#/map?channel=RES_BUY,953.0,Added , 05/12/2022,4.5,17.0,21.5
640000.0,"Bromefield, Stanmore, HA7",Semi-Detached,4,https://www.rightmove.co.uk/properties/129630404#/map?channel=RES_BUY,1509.0,Reduced , 09/01/2023,21.0,2.0,23.0
549950.0,"Courtens Mews, Stanmore, Middlesex",End of Terrace,3,https://www.rightmove.co.uk/properties/129725588#/map?channel=RES_BUY,878.0,Reduced , 21/10/2022,3.0,21.0,24.0
565000.0,"Castellane Close, Stanmore, HA7",Link Detached House,3,https://www.rightmove.co.uk/properties/126781541#/map?channel=RES_BUY,905.0,Added , 06/09/2022,6.5,19.0,25.5
595000.0,"Ashdale Grove, Stanmore, Middlesex",Bungalow,2,https://www.rightmove.co.uk/properties/130695743#/map?channel=RES_BUY,1093.0,Added yesterday,,15.0,11.0,26.0
650000.0,"St. Edmunds Drive, Stanmore, HA7",Semi-Detached,5,https://www.rightmove.co.uk/properties/125017667#/map?channel=RES_BUY,1370.0,Reduced , 30/09/2022,23.5,3.0,26.5
540000.0,"Aldridge Avenue, Stanmore, HA7",House,3,https://www.rightmove.co.uk/properties/130131704#/map?channel=RES_BUY,808.0,Added , 20/12/2022,1.5,25.0,26.5
585000.0,"Bellamy Drive, Stanmore, Middlesex",Semi-Detached,3,https://www.rightmove.co.uk/properties/129725540#/map?channel=RES_BUY,955.0,Added , 28/06/2022,11.0,16.0,27.0
540000.0,"Taunton Way, Stanmore, Middlesex, HA7",Semi-Detached,3,https://www.rightmove.co.uk/properties/125333570#/map?channel=RES_BUY,688.0,Added , 25/07/2022,1.5,27.0,28.5
695000.0,"Charmian Avenue, Stanmore, Middlesex",Semi-Detached,4,https://www.rightmove.co.uk/properties/129725624#/map?channel=RES_BUY,1642.0,Added , 04/10/2022,30.5,1.0,31.5
675000.0,"Old Church Lane, Stanmore, Middlesex",End of Terrace,3,https://www.rightmove.co.uk/properties/129725507#/map?channel=RES_BUY,1306.0,Added , 20/10/2022,27.5,4.0,31.5
595000.0,"Daventer Drive, Stanmore, HA7",Link Detached House,3,https://www.rightmove.co.uk/properties/124054280#/map?channel=RES_BUY,917.0,Reduced , 06/10/2022,15.0,18.0,33.0
675000.0,"Chartley Avenue, Stanmore",Bungalow,3,https://www.rightmove.co.uk/properties/96569503#/map?channel=RES_BUY,1207.0,Added , 19/05/2022,27.5,7.0,34.5
595000.0,"Dean Drive, Stanmore, HA7",End of Terrace,3,https://www.rightmove.co.uk/properties/128202899#/map?channel=RES_BUY,881.0,Reduced , 31/10/2022,15.0,20.0,35.0
675000.0,"Old Church Lane, Stanmore",Semi-Detached,3,https://www.rightmove.co.uk/properties/127229450#/map?channel=RES_BUY,1163.0,Reduced , 10/10/2022,27.5,8.0,35.5
550000.0,"Acacia Close, Stanmore",Town House,4,https://www.rightmove.co.uk/properties/128582327#/map?channel=RES_BUY,0.0,Added , 17/08/2022,4.5,32.0,36.5
650000.0,"Eaton Close, Stanmore, HA7",Terraced,4,https://www.rightmove.co.uk/properties/126019256#/map?channel=RES_BUY,1010.0,Added , 12/08/2022,23.5,13.0,36.5
590000.0,"Langland Crescent, Stanmore, Middlesex, HA7",Semi-Detached,3,https://www.rightmove.co.uk/properties/129797129#/map?channel=RES_BUY,779.0,Added , 07/12/2022,13.0,26.0,39.0
585000.0,"Bellamy Drive, Stanmore",Semi-Detached,3,https://www.rightmove.co.uk/properties/128152505#/map?channel=RES_BUY,513.0,Added , 29/06/2022,11.0,29.0,40.0
600000.0,"Brightwen Grove, Stanmore, HA7",Semi-Detached,3,https://www.rightmove.co.uk/properties/126031292#/map?channel=RES_BUY,873.0,Reduced , 09/08/2022,18.0,23.0,41.0
700000.0,"Letchworth Road, Stanmore, HA7",Penthouse,3,https://www.rightmove.co.uk/properties/130446650#/map?channel=RES_BUY,1152.0,Added , 30/04/2022,32.0,9.0,41.0
675000.0,"Binyon Crescent, Stanmore, Middlesex",Semi-Detached,3,https://www.rightmove.co.uk/properties/130429961#/map?channel=RES_BUY,974.0,Added , 05/01/2023,27.5,14.0,41.5
600000.0,"Uppingham Avenue, Stanmore, HA7",Semi-Detached,3,https://www.rightmove.co.uk/properties/130252460#/map?channel=RES_BUY,844.0,Added , 26/12/2022,18.0,24.0,42.0
650000.0,"Courtens Mews, Stanmore, London",Semi-Detached,3,https://www.rightmove.co.uk/properties/129725417#/map?channel=RES_BUY,875.0,Added , 19/10/2022,23.5,22.0,45.5
695000.0,"Merrion Avenue, Stanmore, HA7",Semi-Detached,3,https://www.rightmove.co.uk/properties/126585200#/map?channel=RES_BUY,962.0,Reduced , 21/10/2022,30.5,15.0,45.5
625000.0,"Glebe Road, Stanmore, Middlesex",Bungalow,2,https://www.rightmove.co.uk/properties/130447253#/map?channel=RES_BUY,653.0,Added , 06/01/2023,20.0,28.0,48.0
600000.0,"Woodstock Close, Stanmore",Semi-Detached,3,https://www.rightmove.co.uk/properties/129113195#/map?channel=RES_BUY,393.0,Added , 15/10/2022,18.0,30.0,48.0
650000.0,"Charmian Avenue, Stanmore, HA7",Semi-Detached,3,https://www.rightmove.co.uk/properties/129727112#/map?channel=RES_BUY,139.0,Added , 05/12/2022,23.5,31.0,54.5
